Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,SeniorCitizenLabel,ServiceCount,AvgMonthlySpend,ChargeToTenureRatio,CLV,TenureGroup_num,ChargesBand_num,ContractRisk,IsNewCustomer,IsLongTermCustomer,HasNoAddOns,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,MultipleLines_Yes,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes
0,0,2,1,1,0,0,49.25,97.0,0,0,1,48.5,1.0155,97.0,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0
0,0,2,1,2,0,1,80.65,144.15,1,0,1,72.08,1.1189,144.15,0,2,2,1,0,0,0,1,0,0,0,0,0,0,1,0
0,0,52,1,1,2,1,79.75,4217.8,0,0,4,81.11,0.9832,4217.8,3,2,0,0,1,0,1,0,0,1,1,0,0,1,1,1
1,1,69,1,1,2,1,64.15,4254.1,0,0,3,61.65,1.0406,4254.1,3,1,0,0,1,0,1,0,0,1,1,0,1,1,0,0
0,0,43,1,2,0,1,90.25,3838.75,0,1,2,89.27,1.011,3838.75,2,2,2,0,0,0,0,1,0,1,0,1,0,0,1,0
0,0,15,1,2,0,1,99.1,1426.4,1,0,4,95.09,1.0422,1426.4,1,3,2,0,0,0,1,0,0,0,1,1,0,0,1,1
1,0,25,1,1,0,1,69.5,1752.65,0,1,3,70.11,0.9913,1752.65,2,2,2,0,0,0,1,0,0,1,1,0,0,1,1,0
1,0,8,1,2,0,1,80.65,633.3,1,1,1,79.16,1.0188,633.3,0,2,2,1,0,0,1,0,0,1,0,1,0,0,0,0
1,1,60,1,1,1,1,74.85,4456.35,0,1,5,74.27,1.0078,4456.35,3,2,1,0,1,0,1,0,0,0,1,1,1,1,0,1
0,0,18,1,2,0,1,95.45,1752.55,1,1,2,97.36,0.9804,1752.55,1,3,2,0,0,0,0,1,0,1,0,0,0,0,1,1
1,1,63,1,2,1,1,99.65,6311.2,0,0,3,100.18,0.9947,6311.2,3,3,1,0,1,0,1,0,0,1,1,0,0,0,1,1
1,1,66,1,2,1,1,108.45,7076.35,0,1,5,107.22,1.0115,7076.35,3,3,1,0,1,0,0,1,0,1,0,1,1,1,1,1
1,1,34,1,0,2,0,24.95,894.3,0,0,0,26.3,0.9487,894.3,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
0,0,72,1,2,2,1,107.5,7853.7,0,0,4,109.08,0.9855,7853.7,3,3,0,0,1,0,1,0,0,1,0,0,1,1,1,1
1,0,47,1,2,0,1,100.5,4707.1,0,0,3,100.15,1.0035,4707.1,2,3,2,0,0,0,0,1,0,1,0,0,1,0,1,1
0,0,60,1,2,0,1,89.9,5450.7,0,0,2,90.84,0.9897,5450.7,3,2,2,0,1,0,0,0,0,1,0,1,0,0,1,0
1,0,72,0,1,2,0,42.1,2962.0,0,0,3,41.14,1.0233,2962.0,3,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0
1,1,18,1,1,1,1,54.4,957.1,0,0,2,53.17,1.0231,957.1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0
0,0,9,1,2,0,0,94.4,857.25,1,0,2,95.25,0.9911,857.25,0,2,2,1,0,0,0,1,0,1,0,0,0,0,1,1
0,0,3,1,1,0,1,75.3,244.1,0,0,4,81.37,0.9254,244.1,0,2,2,1,0,0,0,1,0,0,0,1,0,1,1,1
1,0,47,1,2,1,1,78.9,3650.35,0,0,1,77.67,1.0158,3650.35,2,2,1,0,0,0,0,1,0,1,0,1,0,0,0,0
0,0,31,1,1,2,0,79.2,2497.2,0,0,5,80.55,0.9832,2497.2,2,2,0,0,0,0,0,0,1,0,0,1,1,1,1,1
1,1,50,1,0,2,0,20.15,930.9,0,0,0,18.62,1.0822,930.9,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,10,1,2,0,1,79.85,887.35,0,0,2,88.74,0.8998,887.35,0,2,2,1,0,0,0,0,1,0,1,0,1,0,0,0
0,0,1,1,1,0,0,49.05,49.05,0,0,1,49.05,1.0,49.05,0,1,2,1,0,0,0,0,1,0,0,0,0,1,0,0
1,1,52,1,0,1,1,20.4,1090.65,0,0,0,20.97,0.9728,1090.65,3,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
1,1,64,1,2,2,1,111.6,7099.0,0,1,5,110.92,1.0061,7099.0,3,3,0,0,1,0,0,0,0,1,1,0,1,1,1,1
1,1,62,1,0,2,1,24.25,1424.6,0,0,0,22.98,1.0553,1424.6,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
0,1,3,1,1,0,1,64.5,177.4,0,0,3,59.13,1.0908,177.4,0,1,2,1,0,0,0,0,0,0,1,0,0,1,0,1
0,0,56,1,2,1,0,110.5,6139.5,0,1,5,109.63,1.0079,6139.5,3,3,1,0,1,0,0,1,0,1,1,1,1,0,1,1
0,0,46,1,1,1,0,55.65,2688.85,0,0,1,58.45,0.9521,2688.85,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1,1,8,1,1,0,0,54.65,482.25,0,0,2,60.28,0.9066,482.25,0,1,2,1,0,0,0,0,1,0,1,1,0,0,0,0
0,0,30,1,1,0,1,74.75,2111.3,0,1,4,70.38,1.0621,2111.3,2,2,2,0,0,0,0,1,0,0,1,1,0,0,1,1
1,1,45,1,0,1,1,25.9,1216.6,0,0,0,27.04,0.9578,1216.6,2,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
0,1,1,1,2,0,1,79.35,79.35,1,0,1,79.35,1.0,79.35,0,2,2,1,0,0,0,1,0,0,0,0,0,0,1,0
1,1,11,0,1,0,0,50.55,565.35,0,0,3,51.4,0.9835,565.35,0,1,2,1,0,0,0,1,0,0,1,0,0,0,1,1
1,0,7,1,2,0,1,75.15,496.9,1,0,1,70.99,1.0586,496.9,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,42,1,2,0,1,103.8,4327.5,0,0,5,103.04,1.0074,4327.5,2,3,2,0,0,0,0,0,0,0,0,1,1,1,1,1
1,0,49,1,0,2,1,20.15,973.35,0,0,0,19.86,1.0146,973.35,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,9,1,2,0,1,99.3,918.75,0,0,3,102.08,0.9728,918.75,0,3,2,1,0,0,1,0,0,1,0,1,0,0,1,1
1,0,35,1,1,1,1,62.15,2215.45,0,0,2,63.3,0.9818,2215.45,2,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1,1,48,1,0,2,0,20.65,1057.0,0,0,0,22.02,0.9378,1057.0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,46,1,0,2,1,19.95,927.1,0,0,0,20.15,0.9901,927.1,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1,0,29,0,1,0,0,33.75,1009.25,0,0,1,34.8,0.9698,1009.25,2,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0
1,1,30,1,2,0,0,82.05,2570.2,0,0,2,85.67,0.9577,2570.2,2,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,1,1,2,0,0,74.7,74.7,0,1,1,74.7,1.0,74.7,0,2,2,1,0,0,0,1,0,0,0,0,0,1,0,0
1,1,66,1,1,2,1,84.0,5714.25,0,0,5,86.58,0.9702,5714.25,3,2,0,0,1,0,0,0,1,1,1,0,1,1,1,1
0,0,65,1,2,0,1,111.05,7107.0,0,0,5,109.34,1.0156,7107.0,3,3,2,0,1,0,1,0,0,1,1,1,1,0,1,1
0,0,72,1,2,2,1,100.9,7459.05,0,0,4,103.6,0.9739,7459.05,3,3,0,0,1,0,0,0,0,1,0,1,1,0,1,1
0,0,12,1,2,0,1,78.95,927.35,1,0,1,77.28,1.0216,927.35,0,2,2,1,0,0,0,1,0,1,1,0,0,0,0,0
1,1,71,1,1,1,1,66.85,4748.7,0,0,3,66.88,0.9996,4748.7,3,2,1,0,1,0,1,0,0,1,1,1,0,1,0,0
0,0,5,1,0,0,0,21.05,113.85,1,0,0,22.77,0.9245,113.85,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,52,1,0,2,0,21.0,1107.2,0,0,0,21.29,0.9864,1107.2,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,25,1,2,0,1,98.5,2514.5,1,1,4,100.58,0.9793,2514.5,2,3,2,0,0,0,0,1,0,0,0,1,1,0,1,1
0,0,1,1,0,0,0,20.2,20.2,0,0,0,20.2,1.0,20.2,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0
1,1,1,1,0,0,0,19.45,19.45,0,0,0,19.45,1.0,19.45,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0
0,0,38,1,2,1,0,95.0,3605.6,0,0,3,94.88,1.0013,3605.6,2,2,1,0,0,0,0,0,0,1,0,0,1,1,1,0
1,0,66,0,1,1,0,45.55,3027.25,0,1,3,45.87,0.993,3027.25,3,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0
1,0,68,1,2,2,1,110.0,7611.85,1,0,5,111.94,0.9827,7611.85,3,3,0,0,1,0,0,0,0,1,0,1,1,1,1,1
0,0,5,0,1,0,0,24.3,100.2,0,0,0,20.04,1.2126,100.2,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0
1,1,72,1,2,1,1,104.15,7303.05,0,0,4,101.43,1.0268,7303.05,3,3,1,0,1,0,0,1,0,1,1,1,0,0,1,1
0,0,32,0,1,1,0,30.15,927.65,0,0,1,28.99,1.04,927.65,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
0,0,43,1,2,1,0,94.35,3921.3,0,0,2,91.19,1.0347,3921.3,2,2,1,0,0,0,0,0,1,1,0,0,0,0,1,1
1,1,72,1,0,2,0,19.4,1363.25,0,0,0,18.93,1.0248,1363.25,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1,0,55,1,2,0,1,96.75,5238.9,1,0,3,95.25,1.0157,5238.9,3,3,2,0,1,0,0,1,0,1,1,1,0,0,1,0
0,0,52,1,1,1,0,57.95,3042.25,0,0,3,58.5,0.9906,3042.25,3,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0
0,0,43,1,2,0,1,91.65,3954.1,0,0,3,91.96,0.9966,3954.1,2,2,2,0,0,0,0,1,0,0,0,1,1,0,1,0
1,0,37,1,2,0,1,76.5,2868.15,1,1,0,77.52,0.9868,2868.15,2,2,2,0,0,1,0,1,0,1,0,0,0,0,0,0
1,1,64,0,1,2,1,54.6,3423.5,0,0,4,53.49,1.0208,3423.5,3,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1
1,1,3,1,2,0,0,89.85,248.4,0,0,3,82.8,1.0851,248.4,0,2,2,1,0,0,0,1,0,0,1,1,0,0,1,0
0,0,36,0,1,2,0,31.05,1126.35,0,0,1,31.29,0.9923,1126.35,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,10,1,2,0,1,100.25,1064.65,1,0,3,106.46,0.9417,1064.65,0,3,2,1,0,0,0,1,0,1,1,0,0,0,1,1
0,0,41,1,0,2,0,20.65,835.15,0,0,0,20.37,1.0137,835.15,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1,1,27,1,2,0,1,85.2,2151.6,0,0,2,79.69,1.0691,2151.6,2,2,2,0,0,0,1,0,0,1,0,1,0,1,0,0
1,1,56,1,2,1,1,99.8,5515.45,0,0,3,98.49,1.0133,5515.45,3,3,1,0,1,0,1,0,0,1,0,0,1,0,1,1
0,0,6,1,0,0,0,20.7,112.75,0,0,0,18.79,1.1016,112.75,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,3,1,2,0,1,74.4,229.55,1,0,0,76.52,0.9723,229.55,0,2,2,1,0,1,0,1,0,1,0,0,0,0,0,0
1,1,7,1,1,0,0,50.7,350.35,0,0,1,50.05,1.013,350.35,0,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0
1,1,4,1,0,0,0,20.85,62.9,0,0,0,15.72,1.3263,62.9,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,33,1,2,2,1,88.95,3027.65,0,0,3,91.75,0.9695,3027.65,2,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0
0,0,27,1,2,0,1,78.05,2135.5,1,1,1,79.09,0.9869,2135.5,2,2,2,0,0,0,0,1,0,1,0,0,1,0,0,0
1,0,72,1,0,2,1,23.55,1723.95,0,0,0,23.94,0.9837,1723.95,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
0,0,1,1,0,0,0,19.75,19.75,0,0,0,19.75,1.0,19.75,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,71,0,1,1,1,56.45,3985.35,0,1,4,56.13,1.0057,3985.35,3,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1
0,0,13,1,2,0,1,85.95,1215.65,0,0,1,93.51,0.9192,1215.65,1,2,2,0,0,0,0,1,0,1,0,0,0,0,0,1
1,1,25,0,1,0,1,58.6,1502.65,1,0,5,60.11,0.9749,1502.65,2,1,2,0,0,0,1,0,0,0,1,1,1,0,1,1
0,0,67,1,1,2,0,50.55,3260.1,0,0,1,48.66,1.0388,3260.1,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0,0,1,0,1,0,1,35.45,35.45,1,0,1,35.45,1.0,35.45,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,1
0,0,2,1,1,0,0,44.35,81.25,1,0,0,40.62,1.0918,81.25,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0
0,0,43,1,0,2,1,25.7,1188.2,0,0,0,27.63,0.9301,1188.2,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
0,0,23,1,2,0,1,75.0,1778.5,0,0,1,77.33,0.9699,1778.5,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0
1,1,64,1,0,2,0,20.2,1277.75,0,0,0,19.96,1.012,1277.75,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
0,1,57,1,0,2,1,19.6,1170.55,0,0,0,20.54,0.9542,1170.55,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
1,0,1,1,2,0,1,70.45,70.45,1,1,0,70.45,1.0,70.45,0,2,2,1,0,1,0,0,1,0,0,0,0,0,0,0
1,1,72,1,1,2,1,88.05,6425.65,0,1,6,89.25,0.9866,6425.65,3,2,0,0,1,0,1,0,0,1,1,1,1,1,1,1
0,0,8,1,1,0,0,71.15,563.65,1,0,3,70.46,1.0098,563.65,0,2,2,1,0,0,0,1,0,1,1,0,0,1,0,1
1,0,61,1,2,2,1,101.05,5971.25,0,0,3,97.89,1.0323,5971.25,3,3,0,0,1,0,0,0,0,1,0,1,0,0,1,1
0,0,64,1,2,1,1,84.3,5289.05,0,0,2,82.64,1.0201,5289.05,3,2,1,0,1,0,1,0,0,1,1,1,0,0,0,0
1,0,71,1,0,2,0,23.95,1756.2,0,1,0,24.74,0.9681,1756.2,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
1,1,65,1,2,2,1,99.05,6416.7,0,0,4,98.72,1.0033,6416.7,3,3,0,0,1,0,1,0,0,1,1,1,0,1,1,0
0,0,3,1,0,1,0,19.6,61.35,0,0,0,20.45,0.9584,61.35,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
0,0,1,1,1,0,1,45.65,45.65,1,0,0,45.65,1.0,45.65,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0
0,1,30,1,1,1,0,64.5,1929.95,0,0,3,64.33,1.0026,1929.95,2,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0
1,1,15,1,1,0,1,69.5,1071.4,0,0,4,71.43,0.973,1071.4,1,2,2,0,0,0,0,0,1,0,0,1,1,1,0,1
1,1,8,1,1,0,1,68.55,564.35,0,0,3,70.54,0.9718,564.35,0,2,2,1,0,0,0,1,0,0,0,0,0,1,1,1
0,0,7,1,2,0,0,95.0,655.5,1,0,2,93.64,1.0145,655.5,0,2,2,1,0,0,0,0,1,1,0,0,0,0,1,1
1,1,70,1,2,1,1,108.15,7930.55,0,0,5,113.29,0.9546,7930.55,3,3,1,0,1,0,1,0,0,1,1,1,1,0,1,1
1,1,62,1,1,2,0,86.1,5215.25,0,0,6,84.12,1.0235,5215.25,3,2,0,0,1,0,0,1,0,0,1,1,1,1,1,1
1,1,6,1,0,0,0,19.7,113.5,0,0,0,18.92,1.0412,113.5,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0
1,1,14,1,2,0,1,80.9,1152.8,0,0,1,82.34,0.9825,1152.8,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,22,1,2,0,1,84.15,1821.95,0,0,1,82.82,1.0161,1821.95,1,2,2,0,0,0,0,0,0,1,0,0,0,0,1,0
1,1,22,1,0,1,0,20.15,419.9,0,0,0,19.09,1.0555,419.9,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
1,1,16,1,1,2,0,64.25,1024.0,0,0,3,64.0,1.0039,1024.0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0
0,0,10,1,0,2,0,25.7,251.6,0,0,0,25.16,1.0215,251.6,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
0,1,13,1,1,0,1,56.0,764.55,0,0,2,58.81,0.9522,764.55,1,1,2,0,0,0,0,1,0,0,1,1,0,0,0,0
1,0,20,1,2,0,0,82.4,1592.35,1,0,1,79.62,1.0349,1592.35,1,2,2,0,0,0,0,1,0,1,1,0,0,0,0,0
0,0,2,1,2,0,1,69.7,135.2,0,0,0,67.6,1.0311,135.2,0,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0
0,0,53,1,1,2,1,73.9,3958.25,0,0,4,74.68,0.9896,3958.25,3,2,0,0,1,0,0,0,0,1,0,1,1,1,0,1
1,1,11,1,0,1,0,20.6,233.9,0,0,0,21.26,0.969,233.9,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1,0,69,1,0,2,0,19.9,1363.45,0,0,0,19.76,1.0071,1363.45,3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
0,0,4,1,2,0,1,70.9,273.0,1,0,0,68.25,1.0388,273.0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0
1,0,72,1,1,2,1,89.05,6254.45,0,0,6,86.87,1.0251,6254.45,3,2,0,0,1,0,0,0,0,1,1,1,1,1,1,1
1,0,58,0,1,0,1,45.3,2651.2,1,1,3,45.71,0.991,2651.2,3,1,2,0,1,0,0,1,0,0,0,1,1,0,0,1
1,1,16,1,0,0,0,20.4,321.4,0,0,0,20.09,1.0154,321.4,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0
1,0,43,1,2,1,1,84.25,3539.25,0,0,3,82.31,1.0236,3539.25,2,2,1,0,0,0,0,0,0,0,1,0,1,1,0,0
1,0,2,1,2,0,1,104.4,242.8,1,0,4,121.4,0.86,242.8,0,3,2,1,0,0,0,1,0,1,0,0,1,1,1,1
1,0,14,1,1,2,0,81.95,1181.75,0,0,5,84.41,0.9709,1181.75,1,2,0,0,0,0,0,0,1,0,0,1,1,1,1,1
1,0,53,1,2,1,1,94.85,5000.2,1,0,3,94.34,1.0054,5000.2,3,2,1,0,1,0,0,0,0,0,0,0,1,0,1,1
0,0,32,1,0,1,0,20.55,654.55,0,0,0,20.45,1.0049,654.55,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0,34,1,0,0,0,24.7,780.2,0,0,0,22.95,1.0763,780.2,2,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0
0,0,15,1,2,0,1,74.45,1145.7,1,1,0,76.38,0.9747,1145.7,1,2,2,0,0,1,0,0,1,1,0,0,0,0,0,0
0,0,7,1,2,0,0,76.45,503.6,1,1,1,71.94,1.0627,503.6,0,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0
1,1,15,1,2,0,1,105.35,1559.25,0,0,4,103.95,1.0135,1559.25,1,3,2,0,0,0,0,0,0,1,0,1,1,0,1,1
1,0,61,1,0,1,1,20.55,1252.0,0,0,0,20.52,1.0015,1252.0,3,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,29.95,29.95,1,0,1,29.95,1.0,29.95,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0
